x,y,z,colorb_v,colorv_i,lum,Mv,mv,hipno,vx,vy,vz,speed,starname
-46.03,85.11,7.97,1.05,1.02,0.504,0.7,5.7,379,-17.82,-30.52,8.06,36.25,"0004+6710"
-38.05,89.94,-43.05,0.73,0.78,0.02,4.2,9.4,385,16.45,-12.18,-18.41,27.53,"0004+3810"
31.06,9.18,-174.00,0.00,0.02,0.153,2.0,8.3,389,-5.06,10.57,-10.01,15.41,"0004-2937"
-86.18,181.92,-42.60,0.00,0.00,0.00909,5.1,11.7,390,57.78,-74.31,27.72,98.13,"0004+5014"
-12.35,30.29,-16.84,0.63,0.73,0.0496,3.3,6.1,394,-118.25,-35.83,-4.08,123.63,"0004+3440"
57.24,13.37,-311.97,0.04,0.05,0.478,0.8,8.3,395,-16.02,9.03,-1.70,18.46,"0004-3015"
-211.78,417.85,-31.05,0.03,0.04,5,-1.7,6.6,398,-12.12,16.78,-3.77,21.04,"0004+5831"
-52.97,143.82,-107.60,1.37,1.34,1.11,-0.1,6.2,399,-72.97,-39.28,-19.18,85.06,"0004+2639"
-27.37,60.07,-19.47,0.55,0.62,0.0487,3.3,7.5,404,17.76,-5.61,-9.18,20.76,"0004+4540"
-38.04,101.68,-73.43,0.95,0.94,0.444,0.9,6.5,410,-38.35,-0.80,-12.01,40.19,"0005+2740"
11.35,-2.41,-49.21,0.54,0.61,0.0207,4.2,7.7,413,-41.50,6.09,-6.05,42.38,"0005-3600"
-10.06,68.72,-126.01,1.10,0.91,0.614,0.5,6.3,417,-0.69,-18.80,-28.56,34.20,"0005-0030"
-102.25,197.26,-4.11,-0.07,-0.04,2.36,-0.9,5.8,418,-6.28,12.82,7.00,15.90,"0005+6119"
-59.46,130.80,-43.60,0.07,0.06,0.467,0.8,6.7,424,38.44,6.28,2.40,39.02,"0005+4513"
-4.58,10.04,-3.23,1.47,1.91,0.000138,9.6,9.9,428,-30.38,-7.30,-9.21,32.57,"0005+4547"
110.81,62.67,-702.85,0.69,0.75,1.24,-0.2,9.0,434,-326.79,-320.75,-15.94,458.17,"0005-2716"
6.72,-8.15,-12.02,1.08,1.20,0.00103,7.5,8.5,436,46.12,-32.96,5.23,56.93,"0005-6749"
24.44,41.34,-225.90,-0.06,-0.04,0.237,1.6,8.4,442,39.63,17.17,-20.44,47.78,"0005-2118"
-1.05,16.03,-35.98,1.03,1.04,0.222,1.6,4.6,443,2.95,27.31,20.09,34.03,"0005-0542 33 Psc"
1.02,-0.30,-4.23,1.46,2.13,7.16e-05,10.4,8.6,439,-67.49,-83.80,-28.19,111.23,"0005-3721"
-87.78,350.30,-468.74,1.05,1.11,1.74,-0.6,8.3,447,-528.08,-568.18,-49.04,777.24,"0005+0847"
136.23,-76.72,-472.31,1.62,2.53,2.54,-1.0,7.5,457,47.78,21.63,-21.23,56.58,"0005-4253"
-122.99,252.13,-44.84,1.17,1.14,1.03,-0.0,7.2,466,-12.42,11.09,1.41,16.71,"0005+5310"
-387.85,864.23,-320.44,-0.18,-0.19,4.09,-1.5,8.5,470,-32.69,-17.43,-31.49,48.62,"0005+4324"
-104.19,209.24,-26.99,1.19,1.15,0.886,0.1,7.0,472,5.23,3.45,4.68,7.82,"0005+5542"
-4.70,10.25,-3.30,1.41,1.70,0.000725,7.8,8.2,473,-31.79,-7.87,-9.81,34.19,"0005+4548"
-21.32,73.47,-84.91,0.90,0.87,0.787,0.3,5.5,476,-9.64,4.12,-0.32,10.49,"0005+1324 86 Peg"
90.51,203.16,-974.95,0.79,0.82,1.37,-0.3,9.7,484,540.02,-663.04,-164.83,870.87,"0005-1940"
10.65,-5.53,-38.41,0.59,0.67,0.016,4.5,7.5,490,0.03,-6.26,4.58,7.76,"0005-4145"
-8.68,26.79,-26.70,0.92,0.96,0.00557,5.6,8.6,495,56.52,-18.18,24.36,64.18,"0005+1804"
-59.41,125.04,-30.90,0.30,0.34,0.192,1.8,7.5,497,12.16,22.08,6.07,25.93,"0005+4937"
-102.65,268.48,-190.49,1.53,1.58,2.67,-1.1,6.6,502,17.08,24.41,-3.03,29.94,"0006+2816"
-68.94,219.57,-230.52,0.93,0.92,0.741,0.3,7.9,503,-1.86,30.26,-14.10,33.43,"0006+1627"
-468.23,883.34,21.81,0.13,0.14,11.4,-2.6,7.4,505,66.57,-34.82,6.04,75.37,"0006+6340"
-113.74,259.57,-112.41,0.91,0.91,2.03,-0.8,6.7,508,12.55,21.92,2.63,25.40,"0006+4025"
38.11,13.00,-224.20,-0.03,-0.01,0.359,1.1,7.9,512,-8.44,10.77,1.08,13.73,"0006-2909"
196.14,0.10,-980.58,1.61,2.43,3.73,-1.4,8.6,516,-46.04,-9.15,-39.13,61.11,"0006-3248"
-9.20,18.03,-1.39,0.69,0.74,0.0167,4.4,6.0,518,-6.76,-5.27,5.72,10.30,"0006+5826"
74.63,-86.13,-146.83,0.46,0.53,0.235,1.6,7.9,519,-16.68,4.35,-21.34,27.43,"0006-6414"
8.05,-6.38,-23.49,0.52,0.58,0.0345,3.7,5.7,522,-50.00,-21.67,-5.63,54.78,"0006-4905"
-96.21,185.64,-7.04,0.26,0.29,0.284,1.4,8.0,526,-22.44,-15.89,-0.11,27.49,"0006+6027"
11.06,33.65,-144.30,0.40,0.47,0.263,1.5,7.3,529,0.64,15.38,-7.69,17.21,"0006-1802"
-47.68,106.11,-40.86,0.62,0.69,0.0695,2.9,8.3,530,-19.10,-33.82,10.37,40.20,"0006+4245"
-141.61,265.68,9.20,-0.02,0.00,5.37,-1.8,5.6,531,-2.53,9.14,5.01,10.73,"0006+6412 10 Cas"
-100.41,265.06,-196.38,1.39,3.92,0.148,2.1,9.8,536,29.20,-17.68,11.26,35.94,"0006+2705"
-58.77,151.98,-106.99,0.99,0.97,0.809,0.2,6.7,540,20.04,17.65,-4.11,27.02,"0006+2833"
-4.18,10.73,-7.43,0.75,0.80,0.00701,5.4,6.1,544,-5.67,-6.08,-2.82,8.78,"0006+2901"
4.51,5.82,-38.38,0.39,0.45,0.051,3.2,6.2,560,-1.42,0.71,-2.92,3.32,"0006-2306"
-64.40,160.80,-103.17,1.11,1.07,0.274,1.4,7.9,563,-17.19,-35.36,7.10,39.96,"0006+3107"
-2.69,23.11,-48.12,0.58,0.65,0.0146,4.6,8.2,569,67.15,-26.49,15.99,73.94,"0006-0337"
6.75,32.67,-122.27,0.53,0.60,0.0542,3.2,8.7,584,-20.70,-22.33,6.15,31.06,"0007-1551"
40.51,7.74,-227.24,0.06,0.07,0.185,1.8,8.7,585,-12.77,9.15,10.52,18.91,"0007-3033"
37.92,-51.75,-54.05,0.42,0.49,0.0666,2.9,7.6,596,-4.60,-17.91,-14.97,23.79,"0007-7643"
-115.13,201.83,43.55,0.41,0.47,0.394,1.0,7.9,597,-19.09,-19.95,-12.88,30.47,"0007+7312"
